PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;PATROVITOST;KODHN;ETOLOGIE;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
171;32814043;Aphodius scrutator;hnojník zkoumavı;Brouci;Schles Radovan;20060801;20060801;;5382028;Oøešín;6765;Oøešín;-596850;-1151235;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;32;0;jedinci;;;;;;0;;Bos;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;1053;20140211
172;32814037;Aphodius scrutator;hnojník zkoumavı;Brouci;Škorpík Martin;20071009;20071009;;4987597;Havraníky;7162;Havraníky;-647047;-1197824;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;1;0;jedinci;;;;;;0;;Bos;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;Havranické vøesovištì;330;500;20140211
173;32814036;Aphodius scrutator;hnojník zkoumavı;Brouci;Škorpík Martin;20070913;20070913;;4987597;Havraníky;7162;Havraníky;-647047;-1197824;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;20;0;jedinci;;;;;;0;;Bos;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;Havranické vøesovištì;330;500;20140211
174;32814035;Aphodius scrutator;hnojník zkoumavı;Brouci;Škorpík Martin;20070813;20070813;;4987597;Havraníky;7162;Havraníky;-647047;-1197824;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;1;0;jedinci;;;;;;0;;Bos;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;Havranické vøesovištì;330;500;20140211
175;32813108;Aphodius scrutator;hnojník zkoumavı;Brouci;Doleel Karel;20020825;20020825;;5395850;Stamìøice;6471;Stamìøice;-529264;-1127137;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;1;0;jedinci;;;;;;0;;Bos;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;1136;20140210
176;32813107;Aphodius scrutator;hnojník zkoumavı;Brouci;Vališ Jaromír;20020831;20020831;;5395847;Buk;6470;Buk;-532568;-1132755;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;3;0;jedinci;;;;;;0;;Bos;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;1323;20140210
177;32813106;Aphodius scrutator;hnojník zkoumavı;Brouci;Vališ Jaromír;20021005;20021005;;5395847;Buk;6470;Buk;-532568;-1132755;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;3;0;jedinci;;;;;;0;;Bos;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;1323;20140210
178;32813105;Aphodius scrutator;hnojník zkoumavı;Brouci;Vališ Jaromír;20020921;20020921;;5395847;Buk;6470;Buk;-532568;-1132755;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;6;0;jedinci;;;;;;0;;Bos;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;1323;20140210;20140210;90
179;32813104;Aphodius scrutator;hnojník zkoumavı;Brouci;Vališ Jaromír;20020904;20020904;;5395847;Buk;6470;Buk;-532568;-1132755;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;4;0;jedinci;;;;;;0;;Bos;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;1323;20140210;20140210;90
180;32813103;Aphodius scrutator;hnojník zkoumavı;Brouci;Štìpánek František, Zeman Vladimír;20050625;20050625;;5395846;Hvozdeèko;6367;Hvozdeèko;-569222;-1108543;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;4;0;jedinci;;;;;;0;;Bos;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;0;vìrohodnı záznam;;Návrh validace;;;;;;;;984;20140210
